Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
DXC,"Dxc Technology Company",29.6,0.69,+2.39%,30.14,28.92,7229300,01/08/21
DXCM,Dexcom,388.09,0.93,+0.24%,396.98,381.27,1277600,01/08/21
EA,"Electronic Arts Inc",141.86,1.12,+0.80%,142,139.93,1902700,01/08/21
EBAY,"Ebay Inc",54.48,1.42,+2.68%,54.55,53.23,6298600,01/08/21
ECL,"Ecolab Inc",221.75,-3.99,-1.77%,226.48,218.61,981400,01/08/21
ED,"Consolidated Edison Company of New York",69.93,0.02000000000001,+0.03%,70.4,69.52,2504200,01/08/21
EFX,"Equifax Inc",186.06,4.77,+2.63%,186.79,180.51,873800,01/08/21
EIX,"Edison International",62.3,0.25,+0.40%,62.43,61.71,1430500,01/08/21
EL,"Estee Lauder Companies",260.73,2.46,+0.95%,261.07,257.45,939900,01/08/21
EMN,"Eastman Chemical Company",105.73,-1.88,-1.75%,107.83,104.26,842000,01/08/21
EMR,"Emerson Electric Company",81.82,-0.25,-0.30%,82.67,80.6,2156900,01/08/21
EOG,"Eog Resources",58.87,0.25,+0.43%,59.69,57.99,5804300,01/08/21
EQIX,"Equinix Inc",692.46,13.49,+1.99%,698.65,683.76,624200,01/08/21
EQR,"Equity Residential",58.26,0.36,+0.62%,58.39,57.59,2095600,01/08/21
ES,"Eversource Energy",90.33,1.78,+2.01%,90.46,88.42,1621300,01/08/21
ESS,"Essex Property Trust",233.89,2.39,+1.03%,234.58,230.87,215500,01/08/21
ETN,"Eaton Corp",126.88,-2.21,-1.71%,129.9,125.14,2695600,01/08/21
ETR,"Entergy Corp",95.49,0.64999999999999,+0.69%,95.54,94.12,1333800,01/08/21
ETSY,"Etsy Inc",175.65,4.86,+2.85%,179.73,171.76,2470300,01/08/21
EVRG,"Evergy Inc",53,-0.23,-0.43%,53.22,52.29,1889400,01/08/21
EW,"Edwards Lifesciences Corp",90.67,1.23,+1.38%,91.37,89.62,1997700,01/08/21
EXC,"Exelon Corp",42.21,0.18,+0.43%,42.41,41.9,4582700,01/08/21
EXPD,"Expeditors Intl",94.42,0.28,+0.30%,95.83,93.82,1111400,01/08/21
EXPE,"Expedia Group Inc",144.02,1.73,+1.22%,144.75,141.05,1484200,01/08/21
EXR,"Extra Space Storage Inc",112.05,3.08,+2.83%,112.22,109.27,731000,01/08/21
F,"Ford Motor Company",9,-0.06,-0.66%,9.14,8.89,59162100,01/08/21
FANG,"Diamondback Energy",56.76,-0.03,-0.05%,58.4,55.63,2749300,01/08/21
FAST,"Fastenal Company",50.75,1.04,+2.09%,50.91,49.58,3777200,01/08/21
FB,"Facebook Inc",267.57,-1.17,-0.44%,268.95,263.18,18528199,01/08/21
FBHS,"Fortune Brands Home & Security",86.68,-1.85,-2.09%,89.12,85.73,787300,01/08/21
FCX,"Freeport-Mcmoran Inc",31.15,-0.020000000000003,-0.06%,31.36,30.11,27541600,01/08/21
FDX,"Fedex Corp",244.96,-1.07,-0.43%,247.36,242.42,4583800,01/08/21
FE,"Firstenergy Corp",29.91,0.28,+0.94%,30,29.53,3207100,01/08/21
FFIV,"F5 Networks Inc",191.24,11.14,+6.19%,200.57,189.02,1806500,01/08/21
FIS,"Fidelity National Information Services",138.66,2.89,+2.13%,138.72,135.32,6412400,01/08/21
FISV,"Fiserv Inc",116.79,2.36,+2.06%,117.27,114.48,3859800,01/08/21
FITB,"Fifth Third Bncp",31.18,-0.26,-0.83%,31.5,30.6,5164900,01/08/21
FLIR,"Flir Systems Inc",52.63,0.76,+1.47%,52.73,51.71,4057900,01/08/21
FLS,"Flowserve Corp",36.98,-0.75,-1.99%,37.89,36.44,718200,01/08/21
FLT,"Fleetcor Technologies",275.84,-0.22000000000003,-0.08%,279.18,274.09,483800,01/08/21
FMC,"FMC Corp",121.08,-0.8,-0.66%,122.66,119.35,581400,01/08/21
FOX,"Fox Corp Cl B",29.62,-0.61,-2.02%,30.4,29.15,1838600,01/08/21
FOXA,"Fox Corp Cl A",30.09,-0.85,-2.75%,31.04,29.73,5907800,01/08/21
FRC,"First Republic Bank",161.89,1.77,+1.11%,162.16,159.08,853200,01/08/21
FRT,"Federal Realty Investment Trust",84.53,-0.12,-0.14%,85.3,83.94,381300,01/08/21
FTI,"Technipfmc Plc",11.7,0.32,+2.81%,12.05,11.62,9787200,01/08/21
FTNT,"Fortinet Inc",148.14,4.89,+3.41%,148.49,144.09,1260400,01/08/21
FTV,"Fortive Corp",72.58,0.030000000000001,+0.04%,73.41,72.05,1730100,01/08/21
GD,"General Dynamics Corp",150.77,-0.94999999999999,-0.63%,152.62,148.6,2245900,01/08/21
GE,"General Electric Company",11.34,0.07,+0.62%,11.44,11.16,72719600,01/08/21
GILD,"Gilead Sciences Inc",63.04,0.52,+0.83%,63.41,62.51,8389700,01/08/21
GIS,"General Mills",56.4,-1.55,-2.67%,58.09,56.22,6715000,01/08/21
GL,"Globe Life Inc",96.44,-0.53,-0.55%,97.38,95.38,297200,01/08/21
GLW,"Corning Inc",36.95,-0.029999999999994,-0.08%,37.23,36.56,4144900,01/08/21
GM,"General Motors Company",43.06,-0.26,-0.60%,43.49,42.31,18426200,01/08/21
GOOG,"Alphabet Cl C",1807.21,19.96,+1.12%,1809.84,1773.54,2051000,01/08/21
GOOGL,"Alphabet Cl A",1797.83,23.49,+1.32%,1799.35,1761.22,1774200,01/08/21
GPC,"Genuine Parts Company",103.34,-0.39999999999999,-0.39%,104.17,102.17,735200,01/08/21
GPN,"Global Payments Inc",206.32,-1.8,-0.86%,210.39,205.04,1533400,01/08/21
GPS,"Gap Inc",21.42,-0.079999999999998,-0.37%,21.91,21.21,9575300,01/08/21
GRMN,"Garmin Ltd",121.98,0.42,+0.35%,122.93,120.71,564100,01/08/21
GS,"Goldman Sachs Group",290.08,-1.57,-0.54%,292.28,285.06,2800700,01/08/21
GWW,"W.W. Grainger",396.68,-3.33,-0.83%,404.16,388.33,418400,01/08/21
HAL,"Halliburton Company",20.12,-0.23,-1.13%,20.68,19.87,8343200,01/08/21
HAS,"Hasbro Inc",97.26,2.47,+2.61%,97.53,95.01,909000,01/08/21
HBAN,"Huntington Bcshs",14.43,-0.01,-0.07%,14.5,14.19,12000000,01/08/21
HBI,"Hanesbrands Inc",15.36,-0.11,-0.71%,15.7,15.19,3272300,01/08/21
HCA,"Hca Holdings Inc",172.28,-1.32,-0.76%,174.55,169.58,1063500,01/08/21
HD,"Home Depot",269.09,2.83,+1.06%,270.73,267,3757700,01/08/21
HES,"Hess Corp",60.25,-0.91,-1.49%,61.93,59.93,1710800,01/08/21
HFC,"Hollyfrontier Corp",25.39,-0.73,-2.79%,26.45,25.17,1481400,01/08/21
HIG,"Hartford Financial Services Group",49.89,-0.51,-1.01%,50.53,48.99,2032100,01/08/21
HII,"Huntington Ingalls Industries",169.09,-0.65000000000001,-0.38%,172.9,167.03,404100,01/08/21
HLT,"Hilton Inc",114.16,0.86999999999999,+0.77%,115.67,113.03,4065100,01/08/21
HOLX,"Hologic Inc",80.49,2.52,+3.23%,81.8,78.85,3155000,01/08/21
HON,"Honeywell International Inc",210.03,-2.58,-1.21%,213.41,207.67,3278900,01/08/21
HPE,"Hewlett Packard Enterprise Comp",11.88,-0.09,-0.75%,12.03,11.77,10151100,01/08/21
HPQ,"HP Inc",25.53,-0.22,-0.85%,25.94,25.39,7514100,01/08/21
HRL,"Hormel Foods Corp",45.44,-0.28,-0.61%,45.72,44.9,2171700,01/08/21
HSIC,"Henry Schein Inc",72.1,2.09,+2.99%,72.27,70.51,967600,01/08/21
HST,"Host Marriott Financial Trust",14.72,0.04,+0.27%,14.93,14.61,4023000,01/08/21
HSY,"Hershey Foods Corp",152.03,0.86000000000001,+0.57%,152.34,150.85,552500,01/08/21
HUM,"Humana Inc",436.77,-10.92,-2.44%,448,432.22,962700,01/08/21
HWM,"Howmet Aerospace Inc",27.91,0.17,+0.61%,27.98,27.32,2027100,01/08/21
IBM,"International Business Machines",128.53,-0.46000000000001,-0.36%,129.32,126.98,4676400,01/08/21
ICE,"Intercontinental Exchange",117.63,1.82,+1.57%,118.08,116.09,2405500,01/08/21
IDXX,"Idexx Laboratories",513.2,18.01,+3.64%,513.56,499.29,401400,01/08/21
IEX,"Idex Corp",206.92,-1.32,-0.63%,208.95,204.16,250500,01/08/21
IFF,"International Flavors & Fragrances",119,0.34999999999999,+0.29%,121,117.79,2861800,01/08/21
ILMN,"Illumina Inc",379.61,-2.8,-0.73%,387.15,375,1057800,01/08/21
INCY,"Incyte Corp",93.83,3.78,+4.20%,94,90.26,1458100,01/08/21
INFO,"IHS Markit Ltd",90.05,-0.83,-0.91%,91.13,89.07,2382400,01/08/21
INTC,"Intel Corp",51.65,-0.54,-1.03%,52.53,51.27,34625301,01/08/21
INTU,"Intuit Inc",374.46,5.83,+1.58%,375.03,368.6,1259100,01/08/21
IP,"International Paper Company",51.48,-0.59,-1.13%,52.41,50.65,2029800,01/08/21
IPG,"Interpublic Group of Companies",24.34,-0.12,-0.49%,24.67,24.15,3758400,01/08/21
IPGP,"Ipg Photonics Corp",241.52,6.33,+2.69%,246.55,234.99,270700,01/08/21
IQV,"Iqvia Holdings Inc",191.08,3.02,+1.61%,192,187.53,805400,01/08/21
IR,"Ingersoll Rand Inc",46.4,-0.62,-1.32%,47.46,45.83,1658900,01/08/21
IRM,"Iron Mountain Inc",28.55,0.010000000000002,+0.04%,29.02,28.52,2443600,01/08/21
ISRG,"Intuitive Surg Inc",818.75,10.54,+1.30%,825.39,804.06,476100,01/08/21
IT,"Gartner Inc",169.1,2.9,+1.74%,169.3,166.21,379500,01/08/21
ITW,"Illinois Tool Works Inc",208.96,-0.29999999999998,-0.14%,210.2,205.33,861400,01/08/21
IVZ,"Invesco Plc",18.65,0.32,+1.75%,18.7,18.27,3599500,01/08/21
J,"Jacobs Engineering Group Inc",113.52,-1.3,-1.13%,114.66,112.11,855900,01/08/21
JBHT,"J B Hunt Transport",149.35,0.88,+0.59%,152.69,148.37,675100,01/08/21
JCI,"Johnson Controls Intl",51.3,0.12,+0.23%,51.57,50.56,5098600,01/08/21
JKHY,"Jack Henry & Assoc",166.95,2.01,+1.22%,167.49,164.66,483800,01/08/21
JNJ,"Johnson & Johnson",160.04,-0.33000000000001,-0.21%,161.1,159.88,8228900,01/08/21
JNPR,"Juniper Networks",23.8,-0.029999999999998,-0.13%,24.22,23.79,4134800,01/08/21
JPM,"JP Morgan Chase & Company",136.02,0.15000000000001,+0.11%,136.35,134.12,12035100,01/08/21
K,"Kellogg Company",60.2,-0.69,-1.13%,61.4,59.51,3504000,01/08/21
KEY,Keycorp,18.24,-0.25,-1.35%,18.47,17.92,6472400,01/08/21
KEYS,"Keysight Technologies Inc Comm",146.8,5.8,+4.11%,147.02,140.91,2190300,01/08/21
KHC,"Kraft Heinz Company",33.62,-0.08,-0.22%,33.65,33.21,6226700,01/08/21
KIM,"Kimco Realty Corp",15.44,0.19,+1.25%,15.49,15.06,4040100,01/08/21
KLAC,"K L A-Tencor Corp",283.18,4.99,+1.79%,287.34,279.56,1051800,01/08/21
KMB,"Kimberly-Clark Corp",131.76,0.16,+0.12%,132.18,130.34,1650000,01/08/21
KMI,"Kinder Morgan",14.49,-0.11,-0.75%,14.68,14.3,18581600,01/08/21
KMX,"Carmax Inc",102.1,1.8,+1.79%,103.15,100.33,1608100,01/08/21
KO,"Coca-Cola Company",51.08,1.12,+2.24%,51.12,49.84,29673900,01/08/21
KR,"Kroger Company",31.63,-0.19,-0.60%,31.92,31.43,9175300,01/08/21
KSU,"Kansas City Southern",216.67,1.05,+0.49%,222.63,215.91,999400,01/08/21
L,"Loews Corp",46.58,-0.17,-0.36%,46.93,45.94,616300,01/08/21
LB,"L Brands Inc",46.75,0.58,+1.26%,47.77,45.61,3126500,01/08/21
LDOS,"Leidos Holdings Inc",104.66,0.47999999999999,+0.46%,105.84,103.62,582600,01/08/21
LEG,"Leggett & Platt Inc",44.13,-0.83,-1.85%,45.33,43.72,803500,01/08/21
LEN,"Lennar Corp",73.39,-2.3,-3.04%,76.08,73.06,2485100,01/08/21
LH,"Laboratory Corp of America Holdings",213.55,-4.74,-2.17%,219.15,210.13,858600,01/08/21
LHX,"L3Harris Technologies Inc",180.7,-0.55000000000001,-0.30%,181.62,177.42,1409000,01/08/21
LIN,"Linde Plc",270.4,-0.32000000000005,-0.12%,272.38,267.93,1879200,01/08/21
LKQ,"LKQ Corp",38.39,0.24,+0.63%,38.53,37.8,1833600,01/08/21
LLY,"Eli Lilly and Company",166.41,0.57999999999998,+0.35%,166.86,164.64,3438200,01/08/21
LMT,"Lockheed Martin Corp",336.1,-6.45,-1.88%,343.47,335.01,3226300,01/08/21
LNC,"Lincoln National Corp",51.41,-1.22,-2.32%,52.72,50.45,1285200,01/08/21
LNT,"Alliant Energy Corp",49.35,0.24,+0.49%,49.47,48.66,1183500,01/08/21
LOW,"Lowe's Companies",165.05,1.34,+0.82%,166.25,163.04,4971500,01/08/21
LRCX,"Lam Research Corp",501.63,-12.83,-2.49%,522.25,498.07,1441800,01/08/21
LUMN,Centurylink,10.53,0.02,+0.19%,10.53,10.38,9418800,01/08/21
LUV,"Southwest Airlines Company",46.98,-0.35,-0.74%,47.94,46.71,4770500,01/08/21
LVS,"Las Vegas Sands",57.92,-0.23,-0.40%,59.79,57.01,6859900,01/08/21
LW,"Lamb Weston Holdings Inc",76.83,1.13,+1.49%,77.15,73.61,963700,01/08/21
LYB,"Lyondellbasell Industries NV",96.75,-0.72,-0.74%,98.14,95.89,2257600,01/08/21
LYV,"Live Nation Entertainment",73.46,0.44999999999999,+0.62%,74.06,72.65,2259200,01/08/21
